subject,loso_acc,personalized_acc,improvement
P01,0.6181818181818182,0.8909090909090909,0.2727272727272727
P02,0.9846153846153847,0.9846153846153847,0.0
P03,1.0,1.0,0.0
P04,1.0,1.0,0.0
P05,1.0,1.0,0.0
P06,0.7894736842105263,0.9210526315789473,0.13157894736842102
P07,0.8823529411764706,0.9803921568627451,0.0980392156862745
P08,0.8888888888888888,0.8888888888888888,0.0
P09,0.7272727272727273,0.8,0.07272727272727275
P10,0.5932203389830508,0.8135593220338984,0.22033898305084754
P11,0.8032786885245902,0.9016393442622951,0.09836065573770492
P12,0.9333333333333333,0.9333333333333333,0.0
P13,0.8653846153846154,0.8653846153846154,0.0
